Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ
2019.12.06_07.31.16,-8.388174000000001,51.935613000000004,0,B,12,5G,-99,-13,1.0,15,-86,78,21,D,-,-,-,-,-,C,A81B,9CBA,11016972,-102.0,-15.0
2019.12.06_07.31.17,-8.388174000000001,51.935613000000004,0,B,12,5G,-97,-10,9.0,12,-84,0,0,I,-,-,-,-,-,C,A81B,9CBA,11016972,-100.0,-17.0
2019.12.06_07.31.18,-8.388235,51.935598999999996,1,B,12,5G,-97,-10,9.0,12,-84,0,0,I,-,-,-,-,-,C,A81B,9CBA,11016972,-100.0,-17.0
2019.12.06_07.31.18,-8.388235,51.935598999999996,1,B,12,5G,-97,-10,9.0,12,-84,0,2,D,-,-,-,-,-,C,A81B,9CBA,11016972,-100.0,-17.0
2019.12.06_07.31.19,-8.388235,51.935598999999996,1,B,12,5G,-99,-9,14.0,12,-86,0,0,D,-,-,-,-,-,C,A81B,9CBA,11016972,-100.0,-19.0
2019.12.06_07.31.20,-8.388235,51.935598999999996,1,B,12,5G,-99,-9,14.0,12,-86,31,11,D,-,-,-,-,-,C,A81B,9CBA,11016972,-100.0,-19.0
2019.12.06_07.31.21,-8.388235,51.935598999999996,1,B,12,5G,-99,-10,12.0,12,-86,954,216,D,-,-,-,-,-,C,A81B,9CBA,11016972,-102.0,-9.0
2019.12.06_07.31.22,-8.388235,51.935598999999996,1,B,12,5G,-99,-10,12.0,12,-86,1309,63,D,-,-,-,-,-,C,A81B,9CBA,11016972,-102.0,-9.0
2019.12.06_07.31.23,-8.388235,51.935598999999996,1,B,12,5G,-98,-10,6.0,12,-86,11,0,D,-,-,-,-,-,C,A81B,9CBA,11016972,-99.0,-16.0
2019.12.06_07.31.24,-8.388235,51.935598999999996,1,B,12,5G,-98,-10,6.0,12,-86,85,15,D,-,-,-,-,-,C,A81B,9CBA,11016972,-99.0,-16.0
2019.12.06_07.31.25,-8.388235,51.935598999999996,1,B,12,5G,-99,-12,10.0,9,-84,5743,1161,D,-,-,-,-,-,C,A81B,9CBA,11016972,-99.0,-18.0
2019.12.06_07.31.26,-8.388235,51.935598999999996,1,B,12,5G,-99,-12,10.0,9,-84,11073,235,D,-,-,-,-,-,C,A81B,9CBA,11016972,-99.0,-18.0
2019.12.06_07.31.28,-8.388235,51.935598999999996,1,B,12,5G,-99,-10,7.0,9,-84,26128,524,D,-,-,-,-,-,C,A81B,9CBA,11016972,-102.0,-7.0
2019.12.06_07.31.29,-8.388235,51.935598999999996,1,B,12,5G,-99,-10,7.0,9,-84,58458,1378,D,-,-,-,-,-,C,A81B,9CBA,11016972,-102.0,-7.0
2019.12.06_07.31.30,-8.388235,51.935598999999996,1,B,12,5G,-96,-9,16.0,9,-84,33809,997,D,-,-,-,-,-,C,A81B,9CBA,11016972,-101.0,-6.0
2019.12.06_07.31.31,-8.388235,51.935598999999996,1,B,12,5G,-96,-9,16.0,9,-84,4072,40,D,-,-,-,-,-,C,A81B,9CBA,11016972,-101.0,-6.0
