Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ
2019.11.28_14.53.29,-8.395519,51.886694,0,B,11,5G,-99,-19,-6.0,8,-88,11,3,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-99.0,-19.0
2019.11.28_14.53.30,-8.39645,51.886864,1,B,11,5G,-99,-19,-6.0,8,-88,11,3,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-99.0,-19.0
2019.11.28_14.53.30,-8.39645,51.886864,1,B,11,5G,-99,-19,-6.0,8,-88,1,2,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-99.0,-19.0
2019.11.28_14.53.31,-8.39645,51.886864,1,B,11,5G,-98,-18,-9.0,8,-88,0,0,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-100.0,-17.0
2019.11.28_14.53.32,-8.39645,51.886864,1,B,11,5G,-98,-18,-9.0,8,-88,85,25,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-100.0,-17.0
2019.11.28_14.53.33,-8.39645,51.886864,1,B,11,5G,-98,-17,-1.0,8,-88,14591,503,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-5.0
2019.11.28_14.53.34,-8.39645,51.886864,1,B,11,5G,-98,-17,-1.0,8,-88,4704,121,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-5.0
2019.11.28_14.53.35,-8.39645,51.886864,1,B,11,5G,-98,-17,-5.0,8,-86,12,13,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103.0,-6.0
2019.11.28_14.53.36,-8.39645,51.886864,1,B,11,5G,-98,-17,-5.0,8,-86,0,0,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103.0,-6.0
2019.11.28_14.53.37,-8.39645,51.886864,1,B,11,5G,-98,-17,-7.0,8,-86,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-103.0,-3.0
2019.11.28_14.53.38,-8.39645,51.886864,1,B,11,5G,-98,-17,-7.0,12,-84,2,1,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103.0,-3.0
2019.11.28_14.53.40,-8.39645,51.886864,1,B,11,5G,-98,-13,0.0,9,-86,1409,52,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102.0,-4.0
2019.11.28_14.53.41,-8.39645,51.886864,1,B,11,5G,-98,-13,0.0,9,-86,0,0,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102.0,-4.0
2019.11.28_14.53.42,-8.39645,51.886864,1,B,11,5G,-98,-15,-3.0,9,-86,44,27,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102.0,-5.0
2019.11.28_14.53.43,-8.39645,51.886864,1,B,11,5G,-98,-15,-3.0,5,-84,6792,296,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102.0,-5.0
2019.11.28_14.53.44,-8.39645,51.886864,1,B,11,5G,-98,-15,-1.0,5,-84,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-101.0,-4.0
2019.11.28_14.53.45,-8.39645,51.886864,1,B,11,5G,-98,-15,-1.0,6,-82,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-101.0,-4.0
2019.11.28_14.53.46,-8.39645,51.886864,1,B,11,5G,-97,-15,3.0,6,-82,770,105,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-99.0,-15.0
2019.11.28_14.53.47,-8.39645,51.886864,1,B,11,5G,-97,-15,3.0,10,-,2459,36,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-99.0,-15.0
2019.11.28_14.53.48,-8.39645,51.886864,1,B,11,5G,-98,-16,0.0,8,-85,4,21,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-99.0,-18.0
2019.11.28_14.53.49,-8.39645,51.886864,1,B,11,5G,-98,-16,0.0,8,-85,881,72,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-99.0,-18.0
2019.11.28_14.53.51,-8.39645,51.886864,1,B,11,5G,-97,-13,1.0,8,-85,1,2,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-99.0,-16.0
2019.11.28_14.53.52,-8.39645,51.886864,1,B,11,5G,-97,-13,1.0,8,-85,6221,174,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-99.0,-16.0
2019.11.28_14.53.53,-8.39645,51.886864,1,B,11,5G,-96,-17,5.0,10,-87,11889,305,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103.0,-7.0
2019.11.28_14.53.54,-8.39645,51.886864,1,B,11,5G,-96,-17,5.0,10,-87,34121,1618,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103.0,-7.0
2019.11.28_14.53.55,-8.39645,51.886864,1,B,11,5G,-97,-15,-2.0,11,-,23930,267,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-8.0
2019.11.28_14.53.56,-8.39645,51.886864,1,B,11,5G,-97,-15,-2.0,11,-,279,5,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-8.0
2019.11.28_14.53.57,-8.39645,51.886864,1,B,11,5G,-95,-13,-4.0,8,-87,5,10,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-6.0
2019.11.28_14.53.58,-8.39645,51.886864,1,B,11,5G,-95,-13,-4.0,8,-87,1,1,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-6.0
2019.11.28_14.54.00,-8.39645,51.886864,1,B,11,5G,-97,-13,3.0,8,-87,0,0,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-8.0
2019.11.28_14.54.01,-8.39645,51.886864,1,B,11,5G,-97,-13,3.0,8,-87,1816,14,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-8.0
2019.11.28_14.54.02,-8.39645,51.886864,1,B,11,5G,-95,-15,-3.0,8,-87,0,0,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-4.0
2019.11.28_14.54.03,-8.39645,51.886864,1,B,11,5G,-95,-15,-3.0,8,-87,1668,8,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-4.0
2019.11.28_14.54.04,-8.39645,51.886864,1,B,11,5G,-96,-17,-2.0,10,-85,279,7,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102.0,-4.0
2019.11.28_14.54.05,-8.39645,51.886864,1,B,11,5G,-96,-17,-2.0,7,-88,0,0,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102.0,-4.0
2019.11.28_14.54.06,-8.39645,51.886864,1,B,11,5G,-96,-18,-7.0,7,-88,276,3,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-7.0
