Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ
2020.01.05_14.55.57,-8.394703999999999,51.886183,0,B,11,5G,-97,-13,-3.0,6,-,100,30,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-107.0,-20.0
2020.01.05_14.55.58,-8.394703999999999,51.886183,0,B,11,5G,-96,-15,4.0,10,-,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-102.0,-20.0
2020.01.05_14.55.59,-8.394703999999999,51.886183,0,B,11,5G,-100,-12,4.0,12,-,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-106.0,-18.0
2020.01.05_14.56.00,-8.394703999999999,51.886183,0,B,11,5G,-100,-12,4.0,12,-,11,1,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106.0,-18.0
2020.01.05_14.56.02,-8.394703999999999,51.886183,0,B,11,5G,-97,-15,-8.0,12,-,904,92,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102.0,-20.0
2020.01.05_14.56.03,-8.394703999999999,51.886183,0,B,11,5G,-97,-15,-8.0,12,-,9718,515,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102.0,-20.0
2020.01.05_14.56.04,-8.394703999999999,51.886183,0,B,11,5G,-97,-14,8.0,12,-,0,0,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-19.0
2020.01.05_14.56.05,-8.394703999999999,51.886183,0,B,11,5G,-97,-14,8.0,12,-,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-19.0
2020.01.05_14.56.06,-8.394703999999999,51.886183,0,B,11,5G,-96,-14,-8.0,14,-,609,47,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103.0,-20.0
2020.01.05_14.56.07,-8.394703999999999,51.886183,0,B,11,5G,-96,-14,-8.0,14,-,44881,877,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103.0,-20.0
2020.01.05_14.56.08,-8.394703999999999,51.886183,0,B,11,5G,-98,-10,2.0,15,-,142,578,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-107.0,-18.0
2020.01.05_14.56.09,-8.394703999999999,51.886183,0,B,11,5G,-98,-10,2.0,15,-,21966,409,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-107.0,-18.0
2020.01.05_14.56.10,-8.394703999999999,51.886183,0,B,11,5G,-100,-14,5.0,15,-,79262,985,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-9.0
2020.01.05_14.56.11,-8.394703999999999,51.886183,0,B,11,5G,-100,-14,5.0,15,-,71278,674,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-9.0
2020.01.05_14.56.12,-8.394703999999999,51.886183,0,B,11,5G,-101,-11,8.0,12,-,67483,647,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103.0,-9.0
2020.01.05_14.56.14,-8.394703999999999,51.886183,0,B,11,5G,-101,-11,8.0,12,-,52191,2019,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103.0,-9.0
2020.01.05_14.56.15,-8.394703999999999,51.886183,0,B,11,5G,-102,-15,-3.0,12,-,27176,530,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-20.0
2020.01.05_14.56.16,-8.394703999999999,51.886183,0,B,11,5G,-102,-15,-3.0,12,-,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-20.0
2020.01.05_14.56.17,-8.394703999999999,51.886183,0,B,11,5G,-101,-14,0.0,8,-,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-103.0,-7.0
2020.01.05_14.56.18,-8.394703999999999,51.886183,0,B,11,5G,-101,-14,0.0,8,-,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-103.0,-7.0
2020.01.05_14.56.19,-8.394703999999999,51.886183,0,B,11,5G,-99,-14,9.0,11,-,40131,627,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-7.0
