Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ
2020.01.06_11.40.29,-8.394575999999999,51.886123,0,B,11,5G,-100,-10,-6.0,14,-,160,626,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-19.0
2020.01.06_11.40.29,-8.394577,51.886123,0,B,11,5G,-100,-10,-6.0,14,-,160,626,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-19.0
2020.01.06_11.40.29,-8.394577,51.886123,0,B,11,5G,-99,-9,5.0,14,-,74,582,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-11.0
2020.01.06_11.40.31,-8.394577,51.886123,0,B,11,5G,-99,-9,5.0,14,-,48,65,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-11.0
2020.01.06_11.40.33,-8.394577,51.886123,0,B,11,5G,-97,-10,14.0,13,-,142,112,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-19.0
2020.01.06_11.40.34,-8.394577,51.886123,0,B,11,5G,-97,-8,-7.0,10,-,615,160,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-15.0
2020.01.06_11.40.35,-8.394577,51.886123,0,B,11,5G,-97,-8,-7.0,10,-,461,379,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-15.0
2020.01.06_11.40.36,-8.394577,51.886123,0,B,11,5G,-102,-11,4.0,12,-,280,99,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106.0,-8.0
2020.01.06_11.40.37,-8.394577,51.886123,0,B,11,5G,-102,-11,4.0,12,-,75,34,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106.0,-8.0
2020.01.06_11.40.38,-8.394577,51.886123,0,B,11,5G,-100,-10,-8.0,10,-,57,54,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-10.0
2020.01.06_11.40.40,-8.394577,51.886123,0,B,11,5G,-100,-10,-8.0,10,-,245,57,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-10.0
2020.01.06_11.40.41,-8.394577,51.886123,0,B,11,5G,-97,-10,4.0,12,-,20237,1396,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-19.0
2020.01.06_11.40.42,-8.394577,51.886123,0,B,11,5G,-97,-10,4.0,12,-,18837,295,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-19.0
2020.01.06_11.40.44,-8.394577,51.886123,0,B,11,5G,-99,-10,2.0,14,-,80007,1067,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-18.0
2020.01.06_11.40.45,-8.394577,51.886123,0,B,11,5G,-99,-10,2.0,14,-,88132,2317,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-18.0
2020.01.06_11.40.46,-8.394577,51.886123,0,B,11,5G,-98,-11,2.0,9,-,20385,107,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103.0,-18.0
2020.01.06_11.40.47,-8.394577,51.886123,0,B,11,5G,-98,-11,2.0,9,-,2424,52,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103.0,-18.0
