Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ
2020.02.13_13.03.24,-8.388185,51.935607,0,B,12,5G,-100,-13,1.0,13,-103,24,3,D,-,-,-,-,-,C,A81B,9CBA,11016972,-103.0,-14.0
2020.02.13_13.03.24,-8.388186,51.935634,0,B,12,5G,-100,-13,1.0,13,-103,24,3,D,-,-,-,-,-,C,A81B,9CBA,11016972,-103.0,-14.0
2020.02.13_13.03.25,-8.388186,51.935634,0,B,12,5G,-100,-13,1.0,13,-103,3,5,D,-,-,-,-,-,C,A81B,9CBA,11016972,-103.0,-14.0
2020.02.13_13.03.26,-8.388186,51.935634,0,B,12,5G,-99,-10,3.0,8,-103,0,0,D,-,-,-,-,-,C,A81B,9CBA,11016972,-101.0,-12.0
2020.02.13_13.03.27,-8.388186,51.935634,0,B,12,5G,-99,-10,3.0,8,-103,0,0,I,-,-,-,-,-,C,A81B,9CBA,11016972,-101.0,-12.0
2020.02.13_13.03.28,-8.388186,51.935634,0,B,12,5G,-98,-11,1.0,8,-101,0,0,I,-,-,-,-,-,C,A81B,9CBA,11016972,-101.0,-8.0
2020.02.13_13.03.29,-8.388186,51.935634,0,B,12,5G,-98,-11,1.0,8,-101,18,18,D,87.0,72.0,126.0,23.0,0.0,C,A81B,9CBA,11016972,-101.0,-8.0
2020.02.13_13.03.29,-8.388186,51.935634,0,B,12,5G,-98,-11,1.0,8,-101,18,18,D,-,-,-,-,-,C,A81B,9CBA,11016972,-101.0,-8.0
2020.02.13_13.03.30,-8.388186,51.935634,0,B,12,5G,-101,-11,3.0,9,-105,2013,68,D,-,-,-,-,-,C,A81B,9CBA,11016972,-102.0,-13.0
2020.02.13_13.03.32,-8.388186,51.935634,0,B,12,5G,-101,-11,3.0,9,-103,14348,278,D,-,-,-,-,-,C,A81B,9CBA,11016972,-102.0,-13.0
2020.02.13_13.03.33,-8.388186,51.935634,0,B,12,5G,-100,-14,6.0,9,-103,17229,198,D,-,-,-,-,-,C,A81B,9CBA,11016972,-103.0,-14.0
2020.02.13_13.03.34,-8.388186,51.935634,0,B,12,5G,-100,-14,6.0,9,-103,10414,125,D,-,-,-,-,-,C,A81B,9CBA,11016972,-103.0,-14.0
2020.02.13_13.03.35,-8.388186,51.935634,0,B,12,5G,-101,-16,2.0,14,-103,8445,103,D,-,-,-,-,-,C,A81B,9CBA,11016972,-101.0,-17.0
2020.02.13_13.03.36,-8.388186,51.935634,0,B,12,5G,-101,-16,2.0,14,-103,5816,60,D,-,-,-,-,-,C,A81B,9CBA,11016972,-101.0,-17.0
2020.02.13_13.03.37,-8.388186,51.935634,0,B,12,5G,-99,-12,5.0,9,-103,4196,63,D,-,-,-,-,-,C,A81B,9CBA,11016972,-99.0,-14.0
2020.02.13_13.03.39,-8.388186,51.935634,0,B,12,5G,-99,-12,5.0,9,-103,5252,72,D,-,-,-,-,-,C,A81B,9CBA,11016972,-99.0,-14.0
2020.02.13_13.03.40,-8.388186,51.935634,0,B,12,5G,-100,-12,5.0,14,-103,6198,79,D,-,-,-,-,-,C,A81B,9CBA,11016972,-100.0,-12.0
2020.02.13_13.03.42,-8.388186,51.935634,0,B,12,5G,-100,-11,2.0,9,-103,3376,16,D,-,-,-,-,-,C,A81B,9CBA,11016972,-99.0,-12.0
2020.02.13_13.03.43,-8.388186,51.935634,0,B,12,5G,-100,-11,2.0,9,-103,3376,16,D,75.0,72.0,79.0,3.0,0.0,C,A81B,9CBA,11016972,-99.0,-12.0
2020.02.13_13.03.43,-8.388186,51.935634,0,B,12,5G,-100,-11,2.0,9,-103,5206,129,D,-,-,-,-,-,C,A81B,9CBA,11016972,-99.0,-12.0
2020.02.13_13.03.45,-8.388186,51.935634,0,B,12,5G,-99,-11,8.0,9,-105,14607,196,D,-,-,-,-,-,C,A81B,9CBA,11016972,-102.0,-13.0
2020.02.13_13.03.46,-8.388186,51.935634,0,B,12,5G,-99,-11,8.0,9,-105,11938,95,D,-,-,-,-,-,C,A81B,9CBA,11016972,-102.0,-13.0
2020.02.13_13.03.47,-8.388186,51.935634,0,B,12,5G,-101,-13,0.0,14,-105,14205,135,D,-,-,-,-,-,C,A81B,9CBA,11016972,-103.0,-15.0
2020.02.13_13.03.48,-8.388186,51.935634,0,B,12,5G,-101,-13,0.0,14,-105,15122,129,D,-,-,-,-,-,C,A81B,9CBA,11016972,-103.0,-15.0
