Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ
2019.11.26_09.53.40,-8.483211,51.899382,12,B,11,5G,-88,-18,-9.0,9,-55,8,0,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-70.0,-3.0
2019.11.26_09.53.41,-8.483211,51.899388,9,B,11,5G,-88,-18,-9.0,9,-55,8,0,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-70.0,-3.0
2019.11.26_09.53.41,-8.483211,51.899388,9,B,11,5G,-88,-18,-9.0,9,-57,44,10,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-70.0,-3.0
2019.11.26_09.53.42,-8.483211,51.899388,9,B,11,5G,-93,-18,-7.0,6,-54,10,0,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-73.0,-3.0
2019.11.26_09.53.43,-8.483211,51.899388,9,B,11,5G,-93,-18,-7.0,11,-58,3,0,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-73.0,-3.0
2019.11.26_09.53.44,-8.483211,51.899388,9,B,11,5G,-93,-17,-1.0,9,-60,11,1,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-75.0,-4.0
2019.11.26_09.53.45,-8.483211,51.899388,9,B,11,5G,-93,-17,-1.0,9,-60,166,59,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-75.0,-4.0
2019.11.26_09.53.46,-8.483211,51.899388,9,B,11,5G,-91,-18,-6.0,9,-60,587,317,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-76.0,-2.0
2019.11.26_09.53.47,-8.483211,51.899388,9,B,11,5G,-91,-18,-6.0,9,-60,3,7,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-76.0,-2.0
2019.11.26_09.53.48,-8.483211,51.899388,9,B,11,5G,-89,-16,-12.0,9,-60,0,0,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-75.0,-2.0
2019.11.26_09.53.50,-8.483211,51.899388,9,B,11,5G,-89,-16,-12.0,4,-58,5863,250,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-75.0,-2.0
2019.11.26_09.53.51,-8.483211,51.899388,9,B,11,5G,-89,-21,-7.0,4,-58,111617,492,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-76.0,-5.0
2019.11.26_09.53.52,-8.483211,51.899388,9,B,11,5G,-89,-21,-7.0,3,-,61611,159,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-76.0,-5.0
2019.11.26_09.53.53,-8.483211,51.899388,9,B,11,5G,-92,-20,-12.0,3,-,0,0,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-73.0,0.0
2019.11.26_09.53.54,-8.483211,51.899388,9,B,11,5G,-92,-20,-12.0,4,-,0,0,I,-,-,-,-,-,B,A9AA,9CBA,11119115,-73.0,0.0
2019.11.26_09.53.55,-8.483211,51.899388,9,B,11,5G,-89,-21,-11.0,2,-53,7418,96,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-73.0,-3.0
2019.11.26_09.53.56,-8.482705000000001,51.900257,18,B,11,5G,-89,-21,-11.0,2,-53,7418,96,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-73.0,-3.0
2019.11.26_09.53.56,-8.482705000000001,51.900257,18,B,11,5G,-89,-21,-11.0,1,-56,7044,68,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-73.0,-3.0
2019.11.26_09.53.57,-8.482705000000001,51.900257,18,B,11,5G,-91,-21,-13.0,8,-60,0,0,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-74.0,-2.0
2019.11.26_09.53.58,-8.482705000000001,51.900257,18,B,11,5G,-91,-21,-13.0,8,-60,0,0,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-74.0,-2.0
2019.11.26_09.53.59,-8.482705000000001,51.900257,18,B,11,5G,-91,-21,-9.0,8,-60,0,0,I,-,-,-,-,-,B,A9AA,9CBA,11119115,-75.0,-3.0
2019.11.26_09.54.00,-8.482705000000001,51.900257,18,B,11,5G,-91,-21,-9.0,3,-58,2,1,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-75.0,-3.0
2019.11.26_09.54.01,-8.482705000000001,51.900257,18,B,11,5G,-91,-20,-11.0,3,-58,0,0,I,-,-,-,-,-,B,A9AA,9CBA,11119115,-78.0,-2.0
2019.11.26_09.54.02,-8.482705000000001,51.900257,18,B,11,5G,-91,-20,-11.0,3,-58,0,0,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-78.0,-2.0
2019.11.26_09.54.03,-8.482705000000001,51.900257,18,B,11,5G,-88,-21,-14.0,1,-63,0,0,I,-,-,-,-,-,B,A9AA,9CBA,11119115,-79.0,-12.0
2019.11.26_09.54.05,-8.482705000000001,51.900257,18,B,11,5G,-88,-21,-14.0,1,-60,0,0,I,-,-,-,-,-,B,A9AA,9CBA,11119115,-79.0,-12.0
2019.11.26_09.54.06,-8.482705000000001,51.900257,18,B,11,5G,-90,-21,-14.0,1,-62,18,37,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-77.0,-10.0
2019.11.26_09.54.07,-8.482705000000001,51.900257,18,B,11,5G,-90,-21,-14.0,1,-62,3,7,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-77.0,-10.0
2019.11.26_09.54.08,-8.482705000000001,51.900257,18,B,11,5G,-90,-21,-9.0,1,-62,0,0,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-78.0,-1.0
2019.11.26_09.54.09,-8.482705000000001,51.900257,18,B,11,5G,-90,-21,-9.0,1,-62,5,7,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-78.0,-1.0
2019.11.26_09.54.10,-8.482705000000001,51.900257,18,B,11,5G,-91,-21,-11.0,1,-62,0,0,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-78.0,-10.0
2019.11.26_09.54.11,-8.482705000000001,51.900257,18,B,11,5G,-91,-21,-11.0,6,-59,2,5,D,-,-,-,-,-,B,A9AA,9CBA,11119115,-78.0,-10.0
2019.11.26_09.54.12,-8.482705000000001,51.900257,18,B,3,LTE,-77,-10,-1.0,8,-62,0,0,D,-,-,-,-,-,3,A992,9CBA,11112963,-75.0,-9.0
2019.11.26_09.54.13,-8.482705000000001,51.900257,18,B,3,LTE,-77,-10,-1.0,8,-62,0,0,I,-,-,-,-,-,3,A992,9CBA,11112963,-75.0,-9.0
2019.11.26_09.54.14,-8.482705000000001,51.900257,18,B,13,5G,-78,-12,-6.0,12,-66,0,0,I,-,-,-,-,-,D,A992,9CBA,11112973,-81.0,-204.0
