Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ
2019.11.22_07.30.04,-8.388245,51.935592,0,B,12,5G,-102,-14,-5.0,10,-81,0,0,D,-,-,-,-,-,C,A81B,9CBA,11016972,-98.0,-2.0
2019.11.22_07.30.04,-8.38825,51.935593,0,B,12,5G,-102,-14,-5.0,10,-81,0,0,I,-,-,-,-,-,C,A81B,9CBA,11016972,-98.0,-2.0
2019.11.22_07.30.05,-8.38825,51.935593,0,B,12,5G,-102,-11,-6.0,10,-81,0,0,I,-,-,-,-,-,C,A81B,9CBA,11016972,-97.0,-1.0
2019.11.22_07.30.06,-8.38825,51.935593,0,B,12,5G,-102,-11,-6.0,10,-81,0,0,I,-,-,-,-,-,C,A81B,9CBA,11016972,-97.0,-1.0
2019.11.22_07.30.07,-8.38825,51.935593,0,B,12,5G,-102,-12,4.0,10,-81,0,0,I,-,-,-,-,-,C,A81B,9CBA,11016972,-98.0,-1.0
2019.11.22_07.30.09,-8.38825,51.935593,0,B,12,5G,-102,-12,4.0,12,-85,0,0,I,-,-,-,-,-,C,A81B,9CBA,11016972,-98.0,-1.0
2019.11.22_07.30.10,-8.38825,51.935593,0,B,12,5G,-102,-11,-6.0,12,-85,104,19,D,-,-,-,-,-,C,A81B,9CBA,11016972,-100.0,-12.0
2019.11.22_07.30.11,-8.38825,51.935593,0,B,12,5G,-102,-11,-6.0,11,-83,11,1,D,-,-,-,-,-,C,A81B,9CBA,11016972,-100.0,-12.0
2019.11.22_07.30.12,-8.38825,51.935593,0,B,12,5G,-102,-12,4.0,10,-81,0,1,D,-,-,-,-,-,C,A81B,9CBA,11016972,-98.0,-1.0
2019.11.22_07.30.13,-8.38825,51.935593,0,B,12,5G,-102,-12,4.0,10,-81,0,0,D,-,-,-,-,-,C,A81B,9CBA,11016972,-98.0,-1.0
