Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ
2019.12.04_12.46.14,-8.394675,51.8861,2,B,1,LTE,-103,-13,9.0,12,-83,0,0,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.14,-8.394638,51.886155,0,B,1,LTE,-103,-13,9.0,12,-83,0,0,I,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.15,-8.394638,51.886155,0,B,1,LTE,-103,-13,9.0,12,-83,0,0,I,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.16,-8.394638,51.886155,0,B,1,LTE,-100,-12,7.0,12,-83,0,0,I,-,-,-,-,-,1,A4DF,9CBA,10804993,-105.0,-20.0
2019.12.04_12.46.17,-8.394638,51.886155,0,B,1,LTE,-100,-12,7.0,9,-,0,0,I,-,-,-,-,-,1,A4DF,9CBA,10804993,-105.0,-20.0
2019.12.04_12.46.18,-8.394638,51.886155,0,B,1,LTE,-94,-11,12.0,15,-77,49,14,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-106.0,-19.0
2019.12.04_12.46.19,-8.394638,51.886155,0,B,1,LTE,-94,-11,12.0,14,-79,114,43,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-106.0,-19.0
2019.12.04_12.46.20,-8.394638,51.886155,0,B,1,LTE,-95,-11,7.0,14,-79,374,265,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.21,-8.394638,51.886155,0,B,1,LTE,-95,-11,7.0,14,-81,234,4,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.22,-8.394638,51.886155,0,B,1,LTE,-95,-11,14.0,15,-78,2,4,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.23,-8.394638,51.886155,0,B,1,LTE,-95,-11,14.0,15,-78,453,111,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.24,-8.394638,51.886155,0,B,1,LTE,-95,-11,11.0,15,-80,3448,154,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.25,-8.394638,51.886155,0,B,1,LTE,-95,-11,11.0,15,-80,7884,176,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.26,-8.394638,51.886155,0,B,1,LTE,-97,-10,13.0,15,-80,6998,128,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-106.0,-17.0
2019.12.04_12.46.28,-8.394638,51.886155,0,B,1,LTE,-97,-10,13.0,15,-80,11379,148,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-106.0,-17.0
2019.12.04_12.46.29,-8.394638,51.886155,0,B,1,LTE,-97,-11,16.0,15,-80,6897,119,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-101.0,-20.0
2019.12.04_12.46.30,-8.394638,51.886155,0,B,1,LTE,-97,-11,16.0,15,-80,11160,203,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-101.0,-20.0
2019.12.04_12.46.31,-8.394638,51.886155,0,B,1,LTE,-96,-11,10.0,15,-80,5549,114,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-105.0,-19.0
2019.12.04_12.46.32,-8.394638,51.886155,0,B,1,LTE,-96,-11,10.0,15,-80,17896,227,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-105.0,-19.0
2019.12.04_12.46.33,-8.394638,51.886155,0,B,1,LTE,-96,-11,12.0,15,-80,16672,314,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-105.0,-19.0
2019.12.04_12.46.34,-8.394638,51.886155,0,B,1,LTE,-96,-11,12.0,15,-80,15002,322,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-105.0,-19.0
2019.12.04_12.46.35,-8.394638,51.886155,0,B,1,LTE,-97,-11,13.0,15,-80,13244,178,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-103.0,-20.0
2019.12.04_12.46.36,-8.394638,51.886155,0,B,1,LTE,-97,-11,13.0,15,-80,4420,61,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-103.0,-20.0
2019.12.04_12.46.37,-8.394638,51.886155,0,B,1,LTE,-96,-11,13.0,15,-80,4592,63,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.38,-8.394638,51.886155,0,B,1,LTE,-96,-11,13.0,15,-80,1739,45,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.39,-8.394638,51.886155,0,B,1,LTE,-95,-11,16.0,5,-77,14310,134,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.40,-8.394638,51.886155,0,B,1,LTE,-95,-11,16.0,5,-77,5218,77,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.41,-8.394638,51.886155,0,B,1,LTE,-92,-11,17.0,5,-77,11803,145,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.42,-8.394638,51.886155,0,B,1,LTE,-92,-11,17.0,5,-77,0,6,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.43,-8.394638,51.886155,0,B,1,LTE,-94,-11,15.0,5,-77,17294,186,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.44,-8.394638,51.886155,0,B,1,LTE,-94,-11,15.0,11,-84,19134,240,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.45,-8.394638,51.886155,0,B,1,LTE,-101,-12,12.0,11,-86,15875,221,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.47,-8.394638,51.886155,0,B,1,LTE,-101,-12,12.0,9,-90,0,0,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.48,-8.394638,51.886155,0,B,1,LTE,-104,-12,7.0,10,-87,2,4,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-107.0,-20.0
2019.12.04_12.46.49,-8.394638,51.886155,0,B,1,LTE,-104,-12,7.0,10,-87,0,0,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-107.0,-20.0
2019.12.04_12.46.50,-8.394638,51.886155,0,B,1,LTE,-100,-13,1.0,9,-83,3,5,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-105.0,-20.0
2019.12.04_12.46.51,-8.394638,51.886155,0,B,1,LTE,-100,-13,1.0,14,-81,0,0,D,-,-,-,-,-,1,A4DF,9CBA,10804993,-105.0,-20.0
2019.12.04_12.46.52,-8.394638,51.886155,0,B,1,LTE,-98,-11,13.0,14,-81,0,0,I,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.53,-8.394638,51.886155,0,B,1,LTE,-98,-11,13.0,14,-81,0,0,I,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.54,-8.394638,51.886155,0,B,1,LTE,-99,-12,10.0,14,-81,0,0,I,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.55,-8.394638,51.886155,0,B,1,LTE,-99,-12,10.0,13,-83,0,0,I,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.56,-8.394638,51.886155,0,B,1,LTE,-98,-11,14.0,14,-81,0,0,I,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.57,-8.394638,51.886155,0,B,1,LTE,-98,-11,14.0,14,-81,0,0,I,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.46.58,-8.394638,51.886155,0,B,1,LTE,-100,-12,12.0,14,-83,0,0,I,-,-,-,-,-,1,A4DF,9CBA,10804993,-108.0,-20.0
2019.12.04_12.46.59,-8.394638,51.886155,0,B,1,LTE,-100,-12,12.0,14,-83,0,0,I,-,-,-,-,-,1,A4DF,9CBA,10804993,-108.0,-20.0
2019.12.04_12.47.01,-8.394638,51.886155,0,B,1,LTE,-101,-12,12.0,14,-83,0,0,I,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.47.02,-8.394638,51.886155,0,B,1,LTE,-101,-12,12.0,12,-81,0,0,I,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.47.03,-8.394638,51.886155,0,B,1,LTE,-98,-11,11.0,12,-81,0,0,I,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.47.04,-8.394638,51.886155,0,B,1,LTE,-98,-11,11.0,12,-84,0,0,I,-,-,-,-,-,1,A4DF,9CBA,10804993,-,-
2019.12.04_12.47.05,-8.394638,51.886155,0,B,11,5G,-105,-12,-4.0,12,-88,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-10.0
2019.12.04_12.47.06,-8.394638,51.886155,0,B,11,5G,-105,-12,-4.0,12,-88,1,0,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-10.0
2019.12.04_12.47.07,-8.394638,51.886155,0,B,11,5G,-104,-12,-2.0,12,-88,2,4,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-109.0,-19.0
2019.12.04_12.47.08,-8.394638,51.886155,0,B,11,5G,-104,-12,-2.0,12,-88,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-109.0,-19.0
2019.12.04_12.47.09,-8.394638,51.886155,0,B,11,5G,-105,-14,-4.0,14,-,0,0,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-109.0,-1.0
2019.12.04_12.47.10,-8.394638,51.886155,0,B,11,5G,-105,-14,-4.0,14,-,2,4,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-109.0,-1.0
2019.12.04_12.47.11,-8.394638,51.886155,0,B,11,5G,-102,-14,0.0,14,-,0,0,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-20.0
2019.12.04_12.47.12,-8.394638,51.886155,0,B,11,5G,-102,-14,0.0,14,-,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-20.0
2019.12.04_12.47.13,-8.394638,51.886155,0,B,11,5G,-102,-16,1.0,14,-,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-108.0,-38.0
2019.12.04_12.47.15,-8.394638,51.886155,0,B,11,5G,-102,-16,1.0,14,-,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-108.0,-38.0
2019.12.04_12.47.16,-8.394638,51.886155,0,B,11,5G,-104,-14,-2.0,14,-87,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-107.0,-20.0
2019.12.04_12.47.17,-8.394638,51.886155,0,B,11,5G,-104,-14,-2.0,14,-87,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-107.0,-20.0
2019.12.04_12.47.18,-8.394638,51.886155,0,B,11,5G,-101,-15,9.0,11,-85,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,0.0
2019.12.04_12.47.19,-8.394638,51.886155,0,B,11,5G,-101,-15,9.0,11,-85,17,50,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,0.0
2019.12.04_12.47.20,-8.394638,51.886155,0,B,11,5G,-103,-12,-2.0,12,-91,0,0,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106.0,-204.0
2019.12.04_12.47.21,-8.394638,51.886155,0,B,11,5G,-103,-12,-2.0,14,-89,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-106.0,-204.0
