Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2018.02.12_16.14.01,-8.500138,51.893262,0,B,3,LTE,-109,-11,5.0,10,-92,11251,179,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.02,-8.500138,51.893262,0,B,3,LTE,-108,-11,4.0,10,-92,13107,205,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.03,-8.500138,51.893262,0,B,3,LTE,-108,-11,4.0,10,-92,17581,299,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.04,-8.500138,51.893262,0,B,3,LTE,-110,-10,4.0,10,-92,18755,258,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.06,-8.500138,51.893262,0,B,3,LTE,-110,-10,4.0,9,-94,15713,364,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.07,-8.500138,51.893262,0,B,3,LTE,-110,-10,4.0,11,-90,26785,341,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.08,-8.500138,51.893262,0,B,3,LTE,-110,-10,4.0,7,-93,22893,313,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.09,-8.500138,51.893262,0,B,3,LTE,-110,-11,5.0,7,-93,17939,472,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.10,-8.500138,51.893262,0,B,3,LTE,-110,-11,5.0,10,-82,17022,551,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.11,-8.500138,51.893262,0,B,3,LTE,-98,-10,9.0,10,-82,19963,602,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.12,-8.500138,51.893262,0,B,3,LTE,-98,-10,9.0,12,-78,24067,738,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.13,-8.500138,51.893262,0,B,3,LTE,-97,-10,12.0,10,-80,15814,652,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.14,-8.500138,51.893262,0,B,3,LTE,-97,-10,12.0,10,-77,17324,666,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.16,-8.500138,51.893262,0,B,3,LTE,-94,-9,14.0,12,-,15858,621,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.17,-8.500138,51.893262,0,B,3,LTE,-94,-9,14.0,12,-,10926,470,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.18,-8.500138,51.893262,0,B,3,LTE,-94,-8,16.0,12,-,14147,277,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.19,-8.500138,51.893262,0,B,3,LTE,-94,-8,16.0,12,-,31371,345,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.20,-8.500138,51.893262,0,B,3,LTE,-94,-10,17.0,12,-,33552,1073,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.21,-8.500138,51.893262,0,B,3,LTE,-94,-10,17.0,12,-,39020,604,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.22,-8.500138,51.893262,0,B,3,LTE,-94,-10,18.0,12,-,19683,340,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.23,-8.500138,51.893262,0,B,3,LTE,-94,-10,18.0,12,-,17916,252,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.24,-8.500138,51.893262,0,B,3,LTE,-94,-11,16.0,12,-,13912,151,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.26,-8.500138,51.893262,0,B,3,LTE,-94,-11,16.0,12,-,15299,236,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.27,-8.500138,51.893262,0,B,3,LTE,-94,-11,13.0,12,-,19750,199,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.28,-8.500138,51.893262,0,B,3,LTE,-94,-11,13.0,12,-,19963,369,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.29,-8.500138,51.893262,0,B,3,LTE,-94,-11,12.0,12,-,25633,241,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.30,-8.500138,51.893262,0,B,3,LTE,-94,-11,12.0,12,-,23866,235,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.31,-8.500138,51.893262,0,B,3,LTE,-94,-11,12.0,12,-,43852,324,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.32,-8.500138,51.893262,0,B,3,LTE,-94,-11,12.0,12,-,45876,826,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.33,-8.500138,51.893262,0,B,3,LTE,-94,-11,12.0,12,-,44378,620,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.34,-8.500138,51.893262,0,B,3,LTE,-94,-11,12.0,12,-,31852,401,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.36,-8.500138,51.893262,0,B,3,LTE,-95,-11,12.0,12,-,30398,263,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.37,-8.500138,51.893262,0,B,3,LTE,-95,-11,12.0,12,-,38249,316,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.38,-8.500138,51.893262,0,B,3,LTE,-94,-11,12.0,12,-,26953,517,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.39,-8.500138,51.893262,0,B,3,LTE,-94,-11,12.0,12,-,33977,416,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.40,-8.500138,51.893262,0,B,3,LTE,-94,-11,12.0,12,-,39481,313,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.41,-8.500138,51.893262,0,B,3,LTE,-94,-11,12.0,12,-,39199,289,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.42,-8.500138,51.893262,0,B,3,LTE,-93,-11,14.0,12,-,32546,266,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.43,-8.500138,51.893262,0,B,3,LTE,-93,-11,14.0,12,-,26785,265,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.44,-8.500138,51.893262,0,B,3,LTE,-94,-11,13.0,12,-,21496,229,D,-,-,-8.499074,51.887362,660.10000000000002
2018.02.12_16.14.45,-8.500138,51.893262,0,B,3,LTE,-94,-11,13.0,12,-,12068,229,D,-,-,-8.499074,51.887362,660.10000000000002
