Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ
2019.12.16_13.40.04,-8.394624,51.886140999999995,0,B,11,5G,-103,-15,1.0,15,-90,72,20,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106.0,-11.0
2019.12.16_13.40.05,-8.394624,51.886140999999995,0,B,11,5G,-102,-16,7.0,15,-90,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-107.0,-20.0
2019.12.16_13.40.05,-8.394627999999999,51.886144,0,B,11,5G,-102,-16,7.0,15,-90,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-107.0,-20.0
2019.12.16_13.40.06,-8.394627999999999,51.886144,0,B,11,5G,-102,-16,7.0,15,-90,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-107.0,-20.0
2019.12.16_13.40.07,-8.394627999999999,51.886144,0,B,11,5G,-104,-14,-7.0,11,-88,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-14.0
2019.12.16_13.40.08,-8.394627999999999,51.886144,0,B,11,5G,-104,-14,-7.0,11,-88,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-14.0
2019.12.16_13.40.09,-8.394627999999999,51.886144,0,B,11,5G,-104,-14,-7.0,11,-88,0,0,D,90.0,72.0,128.0,23.0,0.0,B,A4DF,9CBA,10805003,-105.0,-14.0
2019.12.16_13.40.09,-8.394627999999999,51.886144,0,B,11,5G,-102,-14,1.0,15,-91,3434,55,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106.0,-12.0
2019.12.16_13.40.10,-8.394627999999999,51.886144,0,B,11,5G,-102,-14,1.0,11,-88,27631,138,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106.0,-12.0
2019.12.16_13.40.11,-8.394627999999999,51.886144,0,B,11,5G,-102,-16,-3.0,11,-88,31414,85,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-19.0
2019.12.16_13.40.12,-8.394627999999999,51.886144,0,B,11,5G,-102,-16,-3.0,11,-88,29997,145,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-19.0
2019.12.16_13.40.14,-8.394627999999999,51.886144,0,B,11,5G,-103,-16,-1.0,11,-88,45685,127,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-19.0
